topic,type,property,frequency,total_frequency,fraction_of_descriptions
thought_politics,negative_to_negative,negative,9,9252,0.0009727626459143969
thought_politics,negative_to_negative,neutral,991,9252,0.10711197578901858
thought_politics,negative_to_negative,positive,8252,9252,0.8919152615650671
thought_politics,negative_to_neutral,negative,51,9255,0.005510534846029173
thought_politics,negative_to_neutral,neutral,1748,9255,0.18887088060507834
thought_politics,negative_to_neutral,positive,7456,9255,0.8056185845488925
thought_politics,negative_to_positive,negative,1081,9254,0.11681435055111303
thought_politics,negative_to_positive,neutral,1872,9254,0.20229090123189972
thought_politics,negative_to_positive,positive,6301,9254,0.6808947482169873
thought_politics,neutral_to_negative,negative,340,15293,0.022232393905708494
thought_politics,neutral_to_negative,neutral,1922,15293,0.1256784149610933
thought_politics,neutral_to_negative,positive,13031,15293,0.8520891911331981
thought_politics,neutral_to_neutral,negative,259,15291,0.016938068144660257
thought_politics,neutral_to_neutral,neutral,3118,15291,0.20391079720096789
thought_politics,neutral_to_neutral,positive,11914,15291,0.7791511346543718
thought_politics,neutral_to_positive,negative,18,15295,0.0011768551814318406
thought_politics,neutral_to_positive,neutral,687,15295,0.044916639424648575
thought_politics,neutral_to_positive,positive,14590,15295,0.9539065053939196
thought_politics,positive_to_negative,negative,2258,20444,0.11044805321854823
thought_politics,positive_to_negative,neutral,5512,20444,0.26961455683819213
thought_politics,positive_to_negative,positive,12674,20444,0.6199373899432596
thought_politics,positive_to_neutral,negative,159,20450,0.007775061124694376
thought_politics,positive_to_neutral,neutral,3363,20450,0.16444987775061123
thought_politics,positive_to_neutral,positive,16928,20450,0.8277750611246943
thought_politics,positive_to_positive,negative,2,20449,9.780429360848941e-05
thought_politics,positive_to_positive,neutral,684,20449,0.03344906841410338
thought_politics,positive_to_positive,positive,19763,20449,0.9664531272922882
